dig,dump,employment,it
0,0,0.0,0
5,0,0.0,1
12,0,0.0,2
14,0,0.0,3
16,0,0.0,4
16,0,0.0,5
16,0,0.0,6
18,0,0.0,7
25,0,0.0,8
33,0,0.0,9
42,0,0.0,10
45,0,0.0,11
45,0,0.0,12
52,0,0.0,13
61,0,0.0,14
70,0,0.0,15
79,0,0.0,16
88,0,0.0,17
95,0,0.0,18
102,0,0.0,19
105,0,0.0,20
112,0,0.0,21
119,0,0.0,22
127,0,0.0,23
130,0,0.0,24
130,0,0.0,25
130,0,0.0,26
130,0,0.0,27
137,0,0.0,28
140,0,0.0,29
147,0,0.0,30
150,0,0.0,31
157,0,0.0,32
164,0,0.0,33
172,0,0.0,34
181,0,0.0,35
188,0,0.0,36
196,0,0.0,37
198,0,0.0,38
205,0,0.0,39
214,0,0.0,40
223,0,0.0,41
232,0,0.0,42
239,0,0.0,43
246,0,0.0,44
255,0,0.0,45
264,0,0.0,46
271,0,0.0,47
