dig,dump,it
5,0,0
6,0,1
12,0,2
14,0,3
16,0,4
23,0,5
31,0,6
35,0,7
39,0,8
46,0,9
51,0,10
56,0,11
63,0,12
71,0,13
71,0,14
71,0,15
80,0,16
89,0,17
98,0,18
107,0,19
107,0,20
107,0,21
116,0,22
123,0,23
130,0,24
133,0,25
140,0,26
148,0,27
155,0,28
156,0,29
162,0,30
171,0,31
175,0,32
175,0,33
182,0,34
185,0,35
192,0,36
199,0,37
206,0,38
215,0,39
224,0,40
233,0,41
240,0,42
248,0,43
255,0,44
256,0,45
256,0,46
263,0,47
266,0,48
266,0,49
266,0,50
266,0,51
267,0,52
274,0,53
274,0,54
274,0,55
274,0,56
275,0,57
282,0,58
290,0,59
299,0,60
305,0,61
312,0,62
321,0,63
330,0,64
337,0,65
344,0,66
353,0,67
353,0,68
353,0,69
362,0,70
371,0,71
380,0,72
389,0,73
398,0,74
407,0,75
416,0,76
423,0,77
430,0,78
439,0,79
448,0,80
453,0,81
453,0,82
458,0,83
461,0,84
461,0,85
466,0,86
475,0,87
479,0,88
486,0,89
493,0,90
501,0,91
501,0,92
501,0,93
501,0,94
501,0,95
501,0,96
501,0,97
501,0,98
501,0,99
501,0,100
501,0,101
501,0,102
501,0,103
501,0,104
501,0,105
501,0,106
501,0,107
501,0,108
501,0,109
501,0,110
501,0,111
501,0,112
501,0,113
501,0,114
501,0,115
501,0,116
501,0,117
501,0,118
501,0,119
501,0,120
501,0,121
501,0,122
501,0,123
501,0,124
501,0,125
501,0,126
501,0,127
501,0,128
501,0,129
501,0,130
501,0,131
501,0,132
501,0,133
501,0,134
501,0,135
501,0,136
501,0,137
501,0,138
501,0,139
501,0,140
501,0,141
501,0,142
501,0,143
501,0,144
501,0,145
501,0,146
501,0,147
501,0,148
501,0,149
501,0,150
501,0,151
501,0,152
501,0,153
501,0,154
501,0,155
501,0,156
501,0,157
501,0,158
501,0,159
501,0,160
501,0,161
488,30,162
488,60,163
483,61,164
480,61,165
480,61,166
480,62,167
480,64,168
464,73,169
464,80,170
464,80,171
464,90,172
464,90,173
464,90,174
464,90,175
464,90,176
464,113,177
464,113,178
464,123,179
464,123,180
464,123,181
464,140,182
464,146,183
464,146,184
464,146,185
464,146,186
464,170,187
464,170,188
464,182,189
464,188,190
464,194,191
464,194,192
464,194,193
464,194,194
464,194,195
464,211,196
464,211,197
464,211,198
464,248,199
464,248,200
464,248,201
464,248,202
464,276,203
464,276,204
464,289,205
464,289,206
464,289,207
464,289,208
464,291,209
464,291,210
464,332,211
464,332,212
464,332,213
464,332,214
464,332,215
464,332,216
464,332,217
464,379,218
464,386,219
464,386,220
464,386,221
464,386,222
464,391,223
464,391,224
464,391,225
464,391,226
464,432,227
464,432,228
464,432,229
464,432,230
464,460,231
464,460,232
464,473,233
464,473,234
464,473,235
464,473,236
464,473,237
464,473,238
464,473,239
464,473,240
464,473,241
464,473,242
464,473,243
464,473,244
464,473,245
464,473,246
464,473,247
464,473,248
464,473,249
464,473,250
464,473,251
464,473,252
464,473,253
464,473,254
464,473,255
464,473,256
464,473,257
464,473,258
464,473,259
464,473,260
464,473,261
464,473,262
464,473,263
464,473,264
464,473,265
464,473,266
464,473,267
464,473,268
464,473,269
464,473,270
464,473,271
464,473,272
464,473,273
464,473,274
464,473,275
464,473,276
464,473,277
464,473,278
464,473,279
464,473,280
464,473,281
464,473,282
464,473,283
464,473,284
464,473,285
464,473,286
464,473,287
464,473,288
464,473,289
464,473,290
464,473,291
464,473,292
464,473,293
464,473,294
464,473,295
464,473,296
464,473,297
464,473,298
464,473,299
464,473,300
464,473,301
464,473,302
464,473,303
464,473,304
464,473,305
464,473,306
464,473,307
464,473,308
464,473,309
464,473,310
464,473,311
464,473,312
464,473,313
464,473,314
464,473,315
464,473,316
464,473,317
464,473,318
464,473,319
464,473,320
464,473,321
464,473,322
464,473,323
464,473,324
464,473,325
464,473,326
464,473,327
464,473,328
464,473,329
464,473,330
464,473,331
464,473,332
464,473,333
464,473,334
464,473,335
464,473,336
464,473,337
464,473,338
464,473,339
464,473,340
464,473,341
464,473,342
464,473,343
464,473,344
464,473,345
464,473,346
464,473,347
464,473,348
464,473,349
464,473,350
464,473,351
464,473,352
464,473,353
464,473,354
464,473,355
464,473,356
464,473,357
464,473,358
464,473,359
464,473,360
464,473,361
464,473,362
464,473,363
464,473,364
464,473,365
464,473,366
464,473,367
464,473,368
464,473,369
464,473,370
464,473,371
464,473,372
464,473,373
464,473,374
464,473,375
464,473,376
464,473,377
464,473,378
464,473,379
464,473,380
464,473,381
464,473,382
464,473,383
464,473,384
464,473,385
464,473,386
464,473,387
464,473,388
464,472,389
464,467,390
464,459,391
464,450,392
464,447,393
464,445,394
464,438,395
464,435,396
464,431,397
464,424,398
464,416,399
464,407,400
469,403,401
470,399,402
476,398,403
478,394,404
480,389,405
480,389,406
485,389,407
494,389,408
503,389,409
508,389,410
508,389,411
515,389,412
524,389,413
528,389,414
535,389,415
535,388,416
535,388,417
535,388,418
540,388,419
543,388,420
550,388,421
557,388,422
558,388,423
565,388,424
574,388,425
578,388,426
585,388,427
585,388,428
585,388,429
594,388,430
601,388,431
609,388,432
616,388,433
623,388,434
632,388,435
632,388,436
632,388,437
632,388,438
632,388,439
639,388,440
647,388,441
650,388,442
650,388,443
657,388,444
665,388,445
672,388,446
680,388,447
689,388,448
696,388,449
703,388,450
706,388,451
713,388,452
716,388,453
723,388,454
732,388,455
732,388,456
732,388,457
741,388,458
741,388,459
741,388,460
750,388,461
759,388,462
768,388,463
775,388,464
775,388,465
775,388,466
782,388,467
785,388,468
792,388,469
799,388,470
806,388,471
806,388,472
812,388,473
821,388,474
825,388,475
832,388,476
841,388,477
848,388,478
855,388,479
862,388,480
869,388,481
869,388,482
875,388,483
878,388,484
885,388,485
888,388,486
888,388,487
888,388,488
888,388,489
888,388,490
888,388,491
888,388,492
888,388,493
888,388,494
888,388,495
888,388,496
888,388,497
888,388,498
888,388,499
888,388,500
888,388,501
888,388,502
888,388,503
888,388,504
888,388,505
888,388,506
888,388,507
888,388,508
888,388,509
888,388,510
888,388,511
888,388,512
888,388,513
888,388,514
888,388,515
888,388,516
888,388,517
888,388,518
888,388,519
888,388,520
888,388,521
888,388,522
888,388,523
888,388,524
888,388,525
888,388,526
888,388,527
888,388,528
888,388,529
888,388,530
888,388,531
888,388,532
888,388,533
888,388,534
888,388,535
888,388,536
888,388,537
888,388,538
888,388,539
888,388,540
888,388,541
888,388,542
888,388,543
888,388,544
874,410,545
874,410,546
874,422,547
874,422,548
874,422,549
874,422,550
874,422,551
874,422,552
874,422,553
869,470,554
869,470,555
863,475,556
863,475,557
863,475,558
863,481,559
863,481,560
863,481,561
863,521,562
863,529,563
863,529,564
863,529,565
863,529,566
863,529,567
863,529,568
863,569,569
863,569,570
863,569,571
863,590,572
863,599,573
863,599,574
863,618,575
863,618,576
863,618,577
863,618,578
863,663,579
863,663,580
863,663,581
863,690,582
863,709,583
863,709,584
863,709,585
863,727,586
863,736,587
863,736,588
863,754,589
863,754,590
863,772,591
863,781,592
863,781,593
863,781,594
863,781,595
863,781,596
863,818,597
863,827,598
863,827,599
863,827,600
863,854,601
863,854,602
863,872,603
863,872,604
863,872,605
863,872,606
863,872,607
863,872,608
863,872,609
863,872,610
863,872,611
863,872,612
863,872,613
863,872,614
863,872,615
863,872,616
863,872,617
863,872,618
863,872,619
863,872,620
863,872,621
863,872,622
863,872,623
863,872,624
863,872,625
863,872,626
863,872,627
863,872,628
863,871,629
863,866,630
863,865,631
863,864,632
863,858,633
863,857,634
863,851,635
863,849,636
863,842,637
863,833,638
863,824,639
863,819,640
863,812,641
863,803,642
863,796,643
863,789,644
863,780,645
868,776,646
875,774,647
884,774,648
893,774,649
897,772,650
904,772,651
907,772,652
914,772,653
923,772,654
932,772,655
937,772,656
944,772,657
947,772,658
954,772,659
961,772,660
969,772,661
971,772,662
971,772,663
971,772,664
971,772,665
974,772,666
981,772,667
988,772,668
996,772,669
1003,772,670
1003,772,671
1010,772,672
1013,772,673
1020,772,674
1024,772,675
1031,772,676
1037,772,677
1044,772,678
1047,772,679
1047,772,680
1054,772,681
1061,772,682
1069,772,683
1078,772,684
1087,772,685
1096,772,686
1105,772,687
1114,772,688
1121,772,689
1128,772,690
1137,772,691
1141,772,692
1141,772,693
1141,772,694
1148,772,695
1155,772,696
1163,772,697
1172,772,698
1181,772,699
1190,772,700
1197,772,701
1197,772,702
1204,772,703
1213,772,704
1222,772,705
1231,772,706
1238,772,707
1245,772,708
1252,772,709
1259,772,710
1268,772,711
1277,772,712
1277,772,713
1277,772,714
1277,772,715
1277,772,716
1277,772,717
1277,772,718
1277,772,719
1277,772,720
1277,772,721
1277,772,722
1277,772,723
1277,772,724
1277,772,725
1277,772,726
1277,772,727
1277,772,728
1277,772,729
1277,772,730
1277,772,731
1277,772,732
1277,772,733
1277,772,734
1277,772,735
1277,772,736
1277,772,737
1277,772,738
1277,772,739
1277,772,740
1277,772,741
1277,772,742
1277,772,743
1277,772,744
1277,772,745
1277,772,746
1277,772,747
1277,772,748
1277,772,749
1277,772,750
1277,772,751
1277,772,752
1277,772,753
1277,772,754
1277,772,755
1277,772,756
1277,772,757
1277,772,758
1277,772,759
1277,772,760
1277,772,761
1277,772,762
1277,772,763
1276,772,764
1276,772,765
1276,772,766
1276,772,767
1276,772,768
1276,772,769
1276,772,770
1276,772,771
1276,772,772
1276,772,773
1276,772,774
1276,773,775
1276,773,776
1276,773,777
1276,773,778
1276,778,779
1276,778,780
1276,785,781
1276,785,782
1276,793,783
1276,793,784
1276,793,785
1276,793,786
1276,807,787
1276,807,788
1276,813,789
1276,813,790
1276,819,791
1276,822,792
1276,825,793
1276,825,794
1276,836,795
1276,836,796
1276,836,797
1276,836,798
1276,836,799
1276,860,800
1276,864,801
1276,869,802
1276,869,803
1276,869,804
1276,869,805
1276,891,806
1276,891,807
1276,891,808
1276,891,809
1276,916,810
1276,922,811
1276,922,812
1276,922,813
1276,942,814
1276,942,815
1276,958,816
1276,958,817
1276,958,818
1276,979,819
1276,979,820
1276,993,821
1276,1001,822
1276,1009,823
1276,1009,824
1276,1027,825
1276,1027,826
1276,1043,827
1276,1043,828
1276,1059,829
1276,1059,830
1276,1059,831
1276,1059,832
1276,1085,833
1276,1085,834
1276,1085,835
1276,1112,836
1276,1121,837
1276,1121,838
1276,1121,839
1276,1121,840
1276,1121,841
1276,1128,842
1276,1135,843
1276,1135,844
1276,1148,845
1276,1157,846
1276,1157,847
1276,1157,848
1276,1157,849
1276,1175,850
1276,1175,851
1276,1188,852
1276,1188,853
1276,1188,854
1276,1188,855
1276,1216,856
1276,1225,857
1276,1225,858
1276,1243,859
1276,1243,860
1276,1261,861
1276,1268,862
1276,1268,863
1276,1268,864
1276,1288,865
1276,1288,866
1276,1288,867
1276,1288,868
1276,1288,869
1276,1288,870
1276,1288,871
1276,1288,872
1276,1288,873
1276,1288,874
1276,1288,875
1276,1288,876
1276,1288,877
1276,1288,878
1276,1288,879
1276,1288,880
1276,1288,881
1276,1288,882
1276,1288,883
1276,1288,884
1276,1288,885
1276,1288,886
1276,1288,887
1276,1288,888
1276,1288,889
1276,1288,890
1276,1288,891
1276,1288,892
1276,1288,893
1276,1288,894
1276,1288,895
1276,1288,896
1276,1288,897
1276,1288,898
1276,1288,899
1276,1288,900
1276,1288,901
1276,1288,902
1276,1288,903
1276,1288,904
1276,1288,905
1276,1288,906
1276,1288,907
1276,1288,908
1276,1288,909
1276,1288,910
1276,1288,911
1276,1288,912
1276,1288,913
1276,1288,914
1276,1288,915
1276,1288,916
1276,1288,917
1276,1288,918
1276,1288,919
1276,1288,920
1276,1288,921
1276,1288,922
1276,1288,923
1276,1288,924
1276,1288,925
1276,1288,926
1276,1288,927
1276,1288,928
1276,1288,929
1276,1288,930
1276,1288,931
1276,1288,932
1276,1288,933
1276,1288,934
1276,1288,935
1276,1288,936
1276,1288,937
1276,1288,938
1276,1288,939
1276,1288,940
1276,1288,941
1276,1288,942
1276,1288,943
1276,1288,944
1276,1288,945
1276,1288,946
1276,1288,947
1276,1288,948
1276,1288,949
1276,1288,950
1276,1288,951
1276,1288,952
1276,1288,953
1276,1288,954
1276,1288,955
1276,1288,956
1276,1288,957
1276,1288,958
1276,1288,959
1276,1288,960
1276,1288,961
1276,1288,962
1276,1288,963
1276,1288,964
1276,1288,965
1276,1288,966
1276,1288,967
1276,1288,968
1276,1288,969
1276,1288,970
1276,1288,971
1276,1288,972
1276,1288,973
1276,1288,974
1276,1288,975
1276,1288,976
1276,1288,977
1276,1288,978
1276,1288,979
1276,1288,980
1276,1288,981
1276,1288,982
1276,1288,983
1276,1288,984
1276,1288,985
1276,1288,986
1276,1288,987
1276,1288,988
1276,1288,989
1276,1288,990
1276,1288,991
1276,1288,992
1276,1288,993
1276,1288,994
1276,1288,995
1276,1288,996
1276,1288,997
1276,1288,998
1276,1288,999
1276,1288,1000
1276,1288,1001
1276,1288,1002
1276,1288,1003
1276,1288,1004
1276,1288,1005
1276,1288,1006
1276,1288,1007
1276,1288,1008
1276,1288,1009
1276,1288,1010
1276,1288,1011
1276,1288,1012
1276,1288,1013
1276,1288,1014
1276,1288,1015
1276,1288,1016
1276,1288,1017
1276,1288,1018
1276,1288,1019
1276,1288,1020
1276,1288,1021
1276,1288,1022
1276,1288,1023
1276,1288,1024
1276,1288,1025
1276,1288,1026
1276,1288,1027
1276,1288,1028
1276,1288,1029
1276,1288,1030
1276,1288,1031
1276,1288,1032
1276,1288,1033
1276,1288,1034
1276,1288,1035
1276,1288,1036
1276,1288,1037
1276,1288,1038
1276,1288,1039
1276,1288,1040
1276,1288,1041
1276,1288,1042
1276,1287,1043
1276,1286,1044
1276,1286,1045
1276,1284,1046
1276,1280,1047
1276,1276,1048
1276,1276,1049
1276,1276,1050
1276,1273,1051
1276,1268,1052
1276,1268,1053
1276,1268,1054
