dig,dump,employment,it
0,0,0.0,0
5,0,0.0,1
12,0,0.0,2
21,0,0.0,3
30,0,0.0,4
39,0,0.0,5
48,0,0.0,6
57,0,0.0,7
66,0,0.0,8
75,0,0.0,9
84,0,0.0,10
93,0,0.0,11
102,0,0.0,12
111,0,0.0,13
120,0,0.0,14
129,0,0.0,15
138,0,0.0,16
147,0,0.0,17
156,0,0.0,18
165,0,0.0,19
174,0,0.0,20
183,0,0.0,21
192,0,0.0,22
201,0,0.0,23
210,0,0.0,24
219,0,0.0,25
219,0,0.0,26
226,0,0.0,27
233,0,0.0,28
240,0,0.0,29
247,0,0.0,30
254,0,0.0,31
261,0,0.0,32
268,0,0.0,33
275,0,0.0,34
282,0,0.0,35
289,0,0.0,36
296,0,0.0,37
303,0,0.0,38
310,0,0.0,39
317,0,0.0,40
324,0,0.0,41
331,0,0.0,42
338,0,0.0,43
345,0,0.0,44
352,0,0.0,45
359,0,0.0,46
366,0,0.0,47
373,0,0.0,48
380,0,0.0,49
387,0,0.0,50
394,0,0.0,51
401,0,0.0,52
408,0,0.0,53
415,0,0.0,54
422,0,0.0,55
429,0,0.0,56
436,0,0.0,57
436,0,0.0,58
443,0,0.0,59
450,0,0.0,60
457,0,0.0,61
464,0,0.0,62
471,0,0.0,63
478,0,0.0,64
485,0,0.0,65
492,0,0.0,66
499,0,0.0,67
506,0,0.0,68
506,0,0.0,69
506,0,0.0,70
506,0,0.0,71
506,0,0.0,72
506,0,0.0,73
506,0,0.0,74
506,0,0.0,75
506,0,0.0,76
506,0,0.0,77
506,0,0.0,78
506,0,0.0,79
506,0,0.0,80
506,0,0.0,81
506,0,0.0,82
506,0,0.0,83
506,0,0.0,84
506,0,0.0,85
