dig,dump,it
0,0,0
5,0,1
12,0,2
21,0,3
30,0,4
39,0,5
48,0,6
57,0,7
66,0,8
75,0,9
84,0,10
93,0,11
102,0,12
111,0,13
120,0,14
129,0,15
138,0,16
147,0,17
156,0,18
165,0,19
174,0,20
183,0,21
192,0,22
201,0,23
210,0,24
219,0,25
219,0,26
219,0,27
219,0,28
219,0,29
228,0,30
237,0,31
246,0,32
255,0,33
264,0,34
273,0,35
282,0,36
291,0,37
300,0,38
309,0,39
318,0,40
318,0,41
325,0,42
333,0,43
342,0,44
351,0,45
360,0,46
369,0,47
378,0,48
387,0,49
396,0,50
405,0,51
414,0,52
414,0,53
421,0,54
429,0,55
438,0,56
447,0,57
456,0,58
465,0,59
474,0,60
483,0,61
492,0,62
501,0,63
501,0,64
501,0,65
501,0,66
501,0,67
501,0,68
501,0,69
501,0,70
501,0,71
501,0,72
501,0,73
501,0,74
501,0,75
501,0,76
501,0,77
501,0,78
501,0,79
501,0,80
501,0,81
501,0,82
501,0,83
501,0,84
501,0,85
501,0,86
501,0,87
501,0,88
501,0,89
501,0,90
501,0,91
501,0,92
501,0,93
501,0,94
501,0,95
501,0,96
501,0,97
501,0,98
501,0,99
501,0,100
501,0,101
501,0,102
501,0,103
501,0,104
501,0,105
501,0,106
501,0,107
501,0,108
501,0,109
501,0,110
501,0,111
501,0,112
501,0,113
501,0,114
501,0,115
501,0,116
501,0,117
501,0,118
501,0,119
501,0,120
501,0,121
501,0,122
501,2,123
501,6,124
501,12,125
501,21,126
501,30,127
501,39,128
501,48,129
501,57,130
501,66,131
501,75,132
501,84,133
501,93,134
501,102,135
501,111,136
501,120,137
501,129,138
501,138,139
501,147,140
501,156,141
501,165,142
501,174,143
501,183,144
501,192,145
501,201,146
501,210,147
501,219,148
501,228,149
501,237,150
501,246,151
501,255,152
501,264,153
501,273,154
501,282,155
501,291,156
501,300,157
501,309,158
501,318,159
501,327,160
501,336,161
501,345,162
501,354,163
501,363,164
501,372,165
501,381,166
501,390,167
501,399,168
501,408,169
501,417,170
501,426,171
501,435,172
501,444,173
501,453,174
501,462,175
501,471,176
501,480,177
501,489,178
501,498,179
501,507,180
501,507,181
501,507,182
501,507,183
501,507,184
501,507,185
501,507,186
501,507,187
501,507,188
501,507,189
501,507,190
501,507,191
501,507,192
501,507,193
501,507,194
501,507,195
501,507,196
501,507,197
501,507,198
501,507,199
501,507,200
501,507,201
501,507,202
501,507,203
501,507,204
501,507,205
501,507,206
501,507,207
501,507,208
501,507,209
501,507,210
501,507,211
501,507,212
501,507,213
501,507,214
501,507,215
501,507,216
501,507,217
501,507,218
501,507,219
501,507,220
501,507,221
501,507,222
501,507,223
501,507,224
501,507,225
501,507,226
501,507,227
501,507,228
501,507,229
501,507,230
501,507,231
501,507,232
501,507,233
501,507,234
501,507,235
